"from","to"
"CONS","GAFF"
"LEXF","GAFF"
"MRNA","GAFF"
"LEXV","GAFF"
"GRPH","GAFF"
"TREE","GAFF"
"KMER","GAFF"
"LONG","GAFF"
"SSET","GAFF"
"PRTM","GAFF"
"REVP","GAFF"
"GC","GAFF"
"CONS","GREP"
"SIGN","KMER"
"ORF","LREP"
"LCSQ","LREP"
"KMER","LREP"
"PRTM","LREP"
"SPLC","LREP"
"LOCA","MULT"
"CORR","NWCK"
"KMP","REAR"
"MRNA","REVP"
"SIGN","SETO"
