"from","to"
"GRPH","LCSM"
"INOD","LCSQ"
"ORF","LONG"
"LEXF","LONG"
"LCSM","LONG"
"MRNA","LONG"
"PRTM","LONG"
"SPLC","LONG"
"SIGN","LONG"
"ORF","LREP"
"LEXF","LREP"
"MRNA","LREP"
"LEXV","LREP"
"SSEQ","LREP"
"SPLC","LREP"
"PERM","LREP"
"REVP","LREP"
"SIGN","LREP"
"REVP","MPRT"
"IEV","MPRT"
"PERM","MRNA"
"LEXF","ORF"
"GRPH","ORF"
"GC","PROT"
"KMP","REAR"
"CONS","REVP"
"CONS","SORT"
"LEXF","SORT"
"MRNA","SORT"
"GRPH","SORT"
"REVP","SORT"
"GC","SORT"
